CES,50.7577333333,-1.28838333333,Cowes,
CFB,55.0293333333,-2.12715,Chollerford Bridge,
CFF,56.3663833333,-3.85203333333,Crieff,
CGF,57.1629166667,-3.23423333333,Corgarf,
CGL,54.8176166667,-2.66501666667,Croglin,
CGT,52.0261833333,-1.57621666667,Cherington,
CHA,50.87355,-2.96128333333,Chard,
CHB,51.8730666667,-1.491,Charlbury,
CHC,52.05305,-1.77508333333,Chipping Campden,
CHD,53.2362,-1.42433333333,Chesterfield,
CHE,51.8124833333,-1.94295,Chedworth,
CHI,50.8491,-0.843433333333,Chichester W,
CHK,52.9297166667,-3.06393333333,Chirk,
CHL,51.91605,-2.07003333333,Cheltenham,
CHN,51.9520666667,-1.52473333333,Chipping Norton,
CHO,53.65885,-2.69118333333,Chorley West,
CHP,53.8860833333,-2.6207,Chipping,
CHR,55.7073,-2.37723333333,Charterhall Field,
CHS,51.6869166667,0.465283333333,Chelmsford S,
CHT,52.45205,0.0390333333333,Chatteris,
CHU,54.3684666667,-0.9715,Church Houses,
CHV,51.4526,-1.31046666667,Chieveley,
CHW,52.2028333333,-1.25106666667,Charwelton,
CIN,51.8161,-2.49141666667,Cinderford,
CIR,51.71735,-1.96796666667,Cirencester Church,
CKL,51.1047333333,-2.16593333333,Chicklade,
CL2,51.2057166667,0.821633333333,Challock Chalk Pit,
CLA,52.1034,1.10755,Claydon,
CLC,51.8098333333,1.20473333333,Clacton E,
CLD,50.0865,-5.2593,Culdrose A/f,
CLE,52.3979833333,-2.59695,Clee,
CLI,53.8985333333,-2.34511666667,Clitheroe,
CLK,51.2084666667,0.830666666667,Challock,
CLL,54.89515,-2.88683333333,Carlisle,
CLM,51.24435,0.973516666667,Chilham,
CLN,51.43995,-2.01746666667,Calne W,
CLO,56.8417666667,-3.10691666667,Clova,
CLP,51.4917166667,-1.89415,Clyffe Pypard,
CLS,50.9140333333,-3.27945,Culmstock,
CLT,56.72075,-5.24245,Corran Lighthouse,
CLU,57.4900166667,-3.89925,Clunas,
CLY,55.3828333333,-1.9185,Callaly Castle,
CME,51.8767666667,-2.01885,Cheltenham East,
CMN,51.85165,-4.31548333333,Carmarthen,
CMO,54.64885,-3.34236666667,Cockermouth,
CNE,51.3008833333,1.12216666667,Canterbury North East,
CNL,56.4549,-5.39101666667,Connel,
CNO,52.5661833333,-3.54243333333,Carno,
CNR,51.6724,-0.961083333333,Chinnor,
CNW,51.74955,-1.99836666667,Cirencester nw,
CNY,53.2818333333,-3.82085,Conwy Bridge,
COA,57.4703666667,-3.23191666667,Charlestown of Aberlour,
COB,52.4597333333,-0.737033333333,Corby South,
COC,51.9108666667,0.956366666667,Colchester,
COD,55.6539333333,-2.24153333333,Coldstream,
COE,53.0166666667,-3.30833333333,Corwen NE,
COF,55.0359666667,-3.82896666667,Crocketford,
COG,52.8117666667,-0.518716666667,Corby Glen,
COH,55.8856166667,-2.15776666667,Coldingham,
COK,50.9502333333,-0.749483333333,Cocking,
COM,56.3736333333,-3.98728333333,Comrie,
CON,52.6118666667,-2.76821666667,Condover,
COR,52.4894666667,-0.677116666667,Corby,
COS,52.65865,-2.29963333333,Cosford Junction,
COT,55.0972,-2.11811666667,Colt Crag Reservoir,
COU,56.54535,-3.26756666667,Coupar Angus,
COW,51.88125,0.783816666667,Colchester West,
CP1,53.2771833333,-1.7309,Camphill start/finish south,
CP2,53.3387,-1.75383333333,Camphill Chimney,
CPH,53.30505,-1.7291,Camphill,
CPW,51.4476,-2.14963333333,Chippenham W,
CRA,53.0369666667,-0.510566666667,Cranwell North,
CRB,51.09915,0.526016666667,Cranbrook,
CRC,52.3507166667,-1.15461666667,Crick,
CRD,51.6402166667,-1.85746666667,Cricklade,
CRE,50.7831666667,-3.64645,Crediton Station,
CRG,53.0249833333,-3.56203333333,Cerrig,
CRH,52.7913,-1.81436666667,Cross Hayes,
CRI,56.3904833333,-4.61858333333,Crianlarich,
CRK,50.8739166667,-2.77923333333,Crewkerne,
CRL,52.7137,-0.136216666667,Crowland A/f,
CRN,56.09165,-5.55518333333,Crinan,
CRO,52.67955,-0.183516666667,Crowland Bridge,
CRP,52.9327666667,1.30085,Cromer Pier,
CRR,57.4543833333,-3.2942,Carron,
CRW,50.7886333333,-3.74028333333,Crediton West,
CRY,51.8855,-3.62538333333,Cray Reservoir,
CSE,51.2550666667,1.11318333333,Canterbury South East,
CSF,52.6375,-2.31235,Cosford Airfield,
CSK,58.1848666667,-4.51166666667,Crask Bridge,
CSN,54.3691333333,-3.07586666667,Coniston,
CSS,51.7968166667,-4.08338333333,Cross Hands,
CSW,52.8013666667,-0.610716666667,Colsterworth,
CTH,57.03955,-3.21778333333,Crathie Bridge,
CTK,54.3861,-1.65475,Catterick,
CTM,51.4391,0.571866666667,Chatham N,
CTN,57.4911166667,-3.19456666667,Charlestown NE,
CTT,53.3047,-0.781616666667,Cottam,
CUL,50.8608666667,-3.3836,Cullompton,
CUP,56.3193166667,-3.01205,Cupar,
CUR,54.9344166667,-1.84093333333,Currock Hill,
CVN,52.4395833333,-2.83715,Craven Arms,
CVY,51.5359166667,0.563566666667,Canvey Island NW,
CWA,52.1453666667,-1.27615,Chipping Warden,
CWE,53.0684,-2.33366666667,Crewe East,
CWN,52.9796,-3.38761666667,Corwen,
CWR,53.0766833333,-1.6079,Carsington Water,
CWS,51.6190333333,-3.07373333333,Cwmbran SW,
CWT,53.2280333333,-1.61633333333,Chatsworth,
CWY,53.2291666667,-3.81995,Conwy S,
DAE,51.7121,0.61475,Danbury E,
DAL,57.6572833333,-3.06596666667,Dallachy,
DAM,56.4008333333,-4.98351666667,Dalmally,
DAN,54.4658833333,-0.9095,Danby,
DAR,54.5234166667,-1.61975,Darlington,
DAW,50.9603166667,0.422483333333,Darwell,
DBN,56.1860666667,-3.96596666667,Dunblane,
DBR,52.3772,-3.84965,Devil's Bridge,
DDK,50.8855,-0.211966666667,Devil's Dyke,
DEA,51.2224,1.39885,Deal,
DED,51.9821,-1.32305,Deddington,
DEN,53.18355,-3.39718333333,Denbigh,
DEP,52.1878666667,0.585366666667,Depden Water Tower,
DER,54.8603666667,-1.95573333333,Derwent,
DET,51.2941166667,0.56855,Detling,
DEV,51.3542,-1.9846,Devizes,
DFF,53.0077333333,-1.53468333333,Duffield,
DFU,54.1633333333,-3.18891666667,Dalton-in-Furness,
DID,51.6216166667,-1.26096666667,Didcot,
DIN,57.59815,-4.42118333333,Dingwall,
DIS,52.37035,1.12068333333,Diss,
DIT,50.9008166667,-0.105283333333,Ditchlingbeacon,
DKD,56.5637166667,-3.5855,Dunkeld,
DLB,51.7307833333,-5.17035,Dale Bridge,
DLS,57.5593666667,-3.4619,Dallas,
DLT,54.8478833333,-2.9808,Dalston,
DNE,54.7938666667,-1.52888333333,Durham Northeast,
DNG,56.3128333333,-3.5869,Dunning,
DNN,55.94685,-4.92156666667,Dunoon,
DNS,51.9067,-0.550833333333,Dunstable Roundabout,
DNW,53.578,-1.21248333333,Doncaster Northwest,
DOC,52.9011,0.619916666667,Docking,
DOG,52.7443333333,-3.8702,Dolgellau,
DOL,56.1621166667,-3.67665,Dollar,
DOR,50.7205833333,-2.41331666667,Dorchester,
DOU,56.1867666667,-4.0614,Doune,
DOV,51.1199833333,1.30923333333,Dover Marina,
DOW,52.60415,0.3651,Downham Market,
DRB,57.7527,-5.01228333333,Droma Bridge,
DRI,54.0089,-0.453466666667,Driffield,
DRL,53.24955,-0.853633333333,Darlton,
DRO,52.2878666667,-2.12016666667,Droitwlch,
DRS,53.0647166667,-3.24078333333,Denbigh Ridge S,
DRU,56.64245,-3.02688333333,Drumshade,
DSE,52.24705,-1.15095,Daventry SE,
DSW,51.6586833333,-2.37293333333,Dursley SW,
DTN,52.9016,-0.217666666667,Donington,
DUC,50.9479166667,-0.616,Duncton,
DUF,57.44405,-3.1159,Dufftown,
DUL,51.0393166667,-3.55295,Dulverton,
DUM,55.0859666667,-3.61063333333,Dumfries,
DUN,51.8717333333,-0.551233333333,Dunstable Airfield,
DUR,54.7734666667,-1.57653333333,Durham,
DUS,55.77895,-2.34528333333,Duns,
DUT,54.6196,-2.48018333333,Dufton,
DUY,51.6919333333,-2.37943333333,Dursley NW,
DVN,52.28155,-1.1681,Daventry N,
DWI,56.9275833333,-4.2487,Dalwhinnie,
DYS,53.2953833333,-3.41078333333,Dyserth,
EAG,50.9273166667,-3.99348333333,Eaglescott,
EAR,52.3537833333,0.03775,Earith,
EAS,57.5871,-3.30828333333,Easterton,
EAT,54.7439833333,-2.07515,Eastgate,
EAW,52.84545,-0.85475,Eastwell,
EDG,52.08495,-1.47363333333,Edgehill,
EDZ,56.8123166667,-2.60485,Edzell,
ELK,51.7956666667,-2.05026666667,Elkstone S,
ELL,52.909,-2.89405,Ellesmere,
ELM,52.2318,0.891516666667,Elmswell W,
ELY,52.3981333333,0.26395,Ely,
ENS,51.92925,-1.42885,Enstone,
ENW,50.8042166667,0.249466666667,Eastbourne NW,
ETC,51.01015,0.443333333333,Etchingham,
ETT,52.1413833333,-1.61405,Ettington,
EVE,52.0982166667,-1.94595,Evesham,
EWW,54.5245,-3.41045,Ennerdale Water W,
EYE,52.5389333333,-0.744933333333,Eyebrook,
FAK,52.8395333333,0.837616666667,Fakenham,
FAL,54.9430666667,-3.74075,Falgunzeon,
FAR,51.64925,-1.57531666667,Faringdon,
FAV,51.30165,0.9258,Faversham,
FAW,56.0028,-3.91671666667,Falkirk West,
FBG,57.6919666667,-1.99495,Fraserburgh,
FE1,57.1018833333,-3.89173333333,Feshie Airstrip,
FE2,57.1570333333,-3.85783333333,Feshie Start N,
FE3,57.1147333333,-3.93366666667,Feshie Descent Point,
FE4,57.1167166667,-3.92121666667,Feshie Watersports,
FE5,57.00005,-3.87585,Feshie S,
